"sku","fnsku","asin","product-name","condition","your-price","mfn-listing-exists","mfn-fulfillable-quantity","afn-listing-exists","afn-warehouse-quantity","afn-fulfillable-quantity","afn-unsellable-quantity","afn-reserved-quantity","afn-total-quantity","per-unit-volume","afn-inbound-working-quantity","afn-inbound-shipped-quantity","afn-inbound-receiving-quantity"
"00-OR86-271Q","X00125WIR3","B00GAXZ3YE","Prestige Apple Plus Inner Lid Aluminium Pressure Cooker, 5 Litres, Red","New","2180.00","No",,"Yes","0","0","0","0","1","21527.69","1","0","0"
"01-06NU-9YL2","X0018UUP8L","B077BTCQF9","Orient Electric Enamour Plus 25-Litre Vertical Storage Water Heater BEE 5 Star (White)","New","7642.00","No",,"Yes","0","0","0","0","0","108583.47","0","0","0"
"01-UUX6-J6SS","X001BJOJBD","B08444SW7K","Vivo V20 SE (Gravity Black, 8GB RAM, 128GB ROM) Without Offers","New","19675.00","No",,"Yes","0","0","0","0","0","714.8","0","0","0"
"02-0UMG-ZGDD","X001A16WWB","B08444SW7K","Vivo V20 SE (Gravity Black, 8GB RAM, 128GB ROM) Without Offers","New","19598.00","No",,"Yes","0","0","0","0","0","714.8","0","0","0"
"03-VSKX-RZLW","X0016RZNJ7","B00F2F8FU0","Pigeon by Stovekraft Non-Stick Fry Pan, 28cm","New","829.00","No",,"Yes","10","10","0","0","10","11318.87","0","0","0"
"04-IHMQ-0QI4","X000T74JK9","B07842187G","Prestige PEC 3.0 250-Watt Electric Chopper (White)","New","1360.00","No",,"Yes","1","0","1","0","1","5238.45","0","0","0"
"04-NHL3-WHQA","X000T7LVMX","B01KZVQ64M","Gas Stove Perfect - Three Burner","New","4060.00","No",,"Yes","0","0","0","0","4","32770.03","0","4","0"
"04-U00Z-7SFY","X001A92FBP","B08N29CXYG","Wonderchef Royal Velvet Dosa Tawa - 30cm, 3mm, Red","New","1122.00","No",,"Yes","2","2","0","0","2","8123.23","0","0","0"
"05-AIKC-T2N3","X0018NBBE5","B07LCLVFCN","Bajaj Hexagrind 600-Watt Mixer Grinder with 3 Jars (White/Pink)","New","3045.00","No",,"Yes","0","0","0","0","0","24147.65","0","0","0"
"05-BBOD-EEHZ","X0016KBVIB","B084TCTF7X","Syska HT800 Cordless Trimmer for Men (Black)","New","816.00","No",,"Yes","0","0","0","0","0","826.56","0","0","0"
"07-29I7-PO1G","X001ALBKSR","B07KQCRWLG","USHA SI 3816 1600-Watt Steam Iron (Green/White)","New","1219.00","No",,"Yes","0","0","0","0","0","6317.38","0","0","0"
"07-9WCW-LA5Y","X0015CD6Y7","B00J8YRZCU","Wahl India Beretto Clipper (Silver)","New","7975.00","No",,"Yes","0","0","0","0","0","4325.04","0","0","0"
"07-IVUJ-GC3S","X001ABU6QT","B00C2LY9DO","Prestige Deluxe Plus Baby Induction Base Aluminium Pressure Handi, 2 Litres, Silver","New","1540.00","No",,"Yes","0","0","0","0","0","8749.38","0","0","0"
"08-1951-PDSJ","X0017UVBEJ","B08D113266","WAHL WMMP6-0324 3D Shiatsu Massage All Rounder (Gray)","New","5807.00","No",,"Yes","0","0","0","0","0","66081.98","0","0","0"
"08-ND8K-DTZW","X00160C4FZ","B01MRILU0V","wahl Oatmeal Shampoo","New","729.00","No",,"Yes","0","0","0","0","0","1140.05","0","0","0"
"0A-2A1F-KD1E","X001728P2X","B07JB64PS2","Wahl 09893-024 Easy Groom Rechargeable Grooming Kit (Multi Color)","New","1489.00","No",,"Yes","0","0","0","0","0","2316.31","0","0","0"
"0A-D369-Z4D2","X001417F5F","B07L8QSHKN","Wonderchef - 63152950 Royal Velvet Aluminium Grill Pan, 26cm,2L, Purple","New","1079.00","No",,"Yes","0","0","0","0","12","12692.76","0","12","0"
"0A-MTDJ-7U8X","X001ATH8KN","B07QYB9Q6Q","Orient Electric Retro T16 400mm Table Fan (Rubbed Bronze)","New","3100.00","No",,"Yes","0","0","0","0","0","61939.99","0","0","0"
"0A-VPS7-BY5B","X0016DSQNB","B073YTBW2W","Wahl Steel Moser 1400-0016 Classic Professional Hair Clipper (Red)","New","2365.00","No",,"Yes","0","0","0","0","0","1684.92","0","0","0"
"0B-E6ZY-GXG0","X0011Z9SDL","B07L12RZXL","Prestige Induction Cooktop PIC 6.1 V3","New","3900.00","No",,"Yes","106","106","0","0","106","16528.32","0","0","0"
"0C-L4CU-2SOY","X0010BLHET","B075F6TB7F","Skullcandy Jib Wired in-Earphone with Mic (Black) (S2DUYK-343)","New","760.00","No",,"Yes","1","1","0","0","1","340.52","0","0","0"
"0C-PREK-GSZC","X0014E2M7X","B07T1CP9RM","Eureka Forbes Aquasure from Aquaguard Xtra Tuff Sr 21 litres Gravity Water Purifier (Blue)","New","2119.00","No",,"Yes","1","1","0","0","1","31814.17","0","0","0"
"0C-UY1Q-JHKN","X001BAY3NB","B0835F64XF","Bergner Bangle 304 Grade, 18/10 Stainless Steel Soup Ladle Set of 1 Pc","New","699.00","No",,"Yes","0","0","0","0","0","3298.22","0","0","0"
"0C-YAC7-DY3N","X000USMWFL","B00EICG2C6","Prestige Deluxe Plus Hard Anodized Outer Lid Pressure Cooker, 5 Litres, Black","New","2810.00","No",,"Yes","0","0","0","0","0","21350.05","0","0","0"
"0D-3JHC-8A06","X0019HL73F","B00GX3JEIW","Bajaj Majesty RH 9F Plus 9-Fin 2400 Watts Oil Filled Radiator Room Heater with PTC Fan Heater (Black & Copper)","New","10899.00","No",,"Yes","0","0","0","0","0","66192.43","0","0","0"
"0D-IETB-KXUA","X001ASKF13","B07QX7VTLR","Orient Electric New Breeze 1400mm Ceiling Fan (White)","New","2096.00","No",,"Yes","0","0","0","0","0","53873.78","0","0","0"
"0G-G3PH-6OWY","X0010D4ZRX","B07N794N4Q","Prestige Centrifugal Juicer PCJ 8.0","New","5360.00","No",,"Yes","11","11","0","0","11","34187.68","0","0","0"
"0H-3HY4-NE5J","X001A12NA1","B07WL4T72V","Nirlep by Bajaj Electricals Sakhi Induction-Base Non-Stick 3-Piece Cookware Set with Lid, Black","New","1599.00","No",,"Yes","0","0","0","0","0","7898.4","0","0","0"
"0H-4D7D-C3FJ","X00142SAZ3","B0095S9JU0","Eureka Forbes Aquasure from Aquaguard Aquaflo DX Wall Mountable UV White 120 L/hr Water Purifier","New","5398.00","No",,"Yes","16","14","0","2","367","51584.67","1","350","0"
