"sku","fnsku","asin","product-name","product-group","brand","fulfilled-by","your-price","sales-price","longest-side","median-side","shortest-side","length-and-girth","unit-of-dimension","item-package-weight","unit-of-weight","currency","estimated-fee-total","estimated-referral-fee-per-unit","estimated-fixed-closing-fee","estimated-pick-pack-fee-per-unit","estimated-weight-handling-fee-per-unit","estimated-delivery-services-fee-per-unit"
"FW-1806B2B","X001BGS0YN","B07CVMP4CF","Pringle FW-1806 4.5-liters Slow Cooker (Red/Black)","Kitchen","PRINGLE","Amazon","4204.00","4204.00","63.8","29.8","18.6","160.6","centimeters","7899.99","grams","INR","444.22","231.22","30.00","10.00","173.00","--"
"XB-NXFU-8982","X001BG4D6R","B08MML4SV4","Usha Helix Pro Smart Steam Iron 2000 W with Easy-Wind Retractable Cord, Durable Ceramic Soleplate, 3-Way Auto Shut Off, Anti-Drip, Anti-Calc Function (Blue & White)","Kitchen","USHA","Amazon","2699.00","2699.00","34.4","16.1","13.4","93.4","centimeters","1519.99","grams","INR","271.45","148.45","30.00","10.00","83.00","--"
"MG-TJSV-9ORR","X001BFM5NL","B0835F39XP","Bergner Wave 304 Grade, 18/10 Stainless Steel Tea Spoon Set of 6 Pcs","Kitchen","BERGNER","Amazon","929.00","929.00","20.3","6.4","3.3","39.7","centimeters","130.0","grams","INR","174.84","106.84","15.00","10.00","43.00","--"
"GL-J248-NBP1","X001BE51GF","B07X2KLKRZ","Redmi Note 8 Pro (Shadow Black, 6GB RAM, 128GB Storage with Helio G90T Processor)","Wireless","Redmi","Amazon","18985.00","18985.00","17.53","9.4","6.1","48.53","centimeters","419.98","grams","INR","1054.25","949.25","30.00","10.00","65.00","--"
"EN-E9PH-BA6M","X001BDY6XZ","B07X4R4F47","Redmi Note 8 Pro (Electric Blue, 6GB RAM, 128GB Storage with Helio G90T Processor)","Wireless","Redmi","Amazon","18990.00","18990.00","17.27","8.89","5.59","46.23","centimeters","479.99","grams","INR","1054.50","949.50","30.00","10.00","65.00","--"
"1X-SLE0-YGBL","X001BD2LS7","B08HRF34WV","Morphy Richards Mini 300-Watts DC Motor Chopper (Rose Gold)","Kitchen","Morphy Richards","Amazon","1980.00","1980.00","26.1","18.2","16.0","94.5","centimeters","1180.02","grams","INR","188.76","108.90","30.00","10.00","39.86","--"
"LJ-IO3I-WZV5","X001BB1O2D","B0835F39X4","Bergner Bangle 304 Grade, 18/10 Stainless Steel Tea Spoon Set of 6 Pcs","Kitchen","BERGNER","Amazon","674.00","674.00","19.0","7.4","3.2","40.2","centimeters","139.98","grams","INR","145.51","77.51","15.00","10.00","43.00","--"
"amzn1.fba.v1.0d804eZLwoUXfYpKsytS4nyuzWA","X001BAOM1J","B07VVPQSQQ","(Renewed) Usha Food Processor with Premium SS Finish FP3810 -Black and Steel","Kitchen","USHA","Amazon","7198.00","7198.00","37.0","31.3","29.0","157.6","centimeters","7740.01","grams","INR","680.87","467.87","30.00","10.00","173.00","--"
"FY-0ADK-TW75","X001BAH419","B07ZQ3YP17","BERGNER Alpine Forged Aluminium Non-Stick Flat Tawa, 26 cm, Induction Base, Grey.","Kitchen","BERGNER","Amazon","1076.00","1076.00","43.6","27.6","4.6","108.0","centimeters","1100.01","grams","INR","246.74","123.74","30.00","10.00","83.00","--"
"IN-YUZU-XYLR","X001BAFYHZ","B08DP8HXZL","Bergner Argent Elements Triply Stainless Steel UnPressure Cooker Pan with Outer Lid, 3.5 litres, Silver","Kitchen","BERGNER","Amazon","3318.00","3318.00","44.2","33.8","17.0","145.8","centimeters","3480.01","grams","INR","421.26","232.26","30.00","10.00","149.00","--"
