Sr No,Sku,Date,Event Type,From Facility,To Facility,Qty,Good Stock Opening,Good Stock Closing,Bad Stock Opening,Bad Stock Closing,Entity,Object,Action,User
1,BAJ-MIX-GRD-REX-500W,01-02-2021 04:28:55,Stock Blocked,Flipkart_smart fullfilment,,1,0,0,28,28,Order,OD120900811673610000/12090081167361000,Stock blocked for new order OD120900811673610000/12090081167361000,
2,Eur-For-Aqua-Amrit-20-l-blue,01-02-2021 05:55:27,Stock Blocked,All defective,,1,13,13,0,0,Order,Offline Sale00003503,Stock blocked for new order Offline Sale00003503,akshayjoshi5423@gmail.com
3,Eur-For-Aqua-Amrit-20-l-blue,01-02-2021 05:55:55,Reduce Stock,All defective,,1,13,12,0,0,Order,Offline Sale00003503,Stock reduced for shipped order Offline Sale00003503,akshayjoshi5423@gmail.com
4,HT200,01-02-2021 06:11:19,Add Stock,All defective,,1,1,2,0,0,GRN,GRN19464,Stock added for grn GRN19464,akshayjoshi5423@gmail.com
5,Eur-For-Aqua-Amrit-20-l-blue,01-02-2021 06:30:16,Add Stock,All defective,,1,12,13,0,0,GRN,GRN19465,Stock added for grn GRN19465,akshayjoshi5423@gmail.com
6,410167-BAJ-GLO-500W-MIX-GRN,01-02-2021 06:33:01,Stock Blocked,All defective,,1,2,2,0,0,Order,Offline Sale00003504,Stock blocked for new order Offline Sale00003504,akshayjoshi5423@gmail.com
7,410167-BAJ-GLO-500W-MIX-GRN,01-02-2021 06:33:32,Reduce Stock,All defective,,1,2,1,0,0,Order,Offline Sale00003504,Stock reduced for shipped order Offline Sale00003504,akshayjoshi5423@gmail.com
8,08466-424,01-02-2021 07:19:19,Return Stock,Flipkart_smart fullfilment,,2,0,2,0,0,Sales Return,RTN257092,Stock returned for sales return RTN257092,akshayjoshi5423@gmail.com
9,Eureak-Fob-Amaze-7L-Water-Purifier,01-02-2021 07:24:42,Stock Blocked,All defective,,1,5,5,0,0,Order,Offline Sale00003505,Stock blocked for new order Offline Sale00003505,akshayjoshi5423@gmail.com
10,Eureak-Fob-Amaze-7L-Water-Purifier,01-02-2021 07:25:08,Reduce Stock,All defective,,1,5,4,0,0,Order,Offline Sale00003505,Stock reduced for shipped order Offline Sale00003505,akshayjoshi5423@gmail.com
11,08466-424,01-02-2021 07:52:03,Return Stock,Flipkart_smart fullfilment,,1,2,3,0,0,Sales Return,RTN257095,Stock returned for sales return RTN257095,akshayjoshi5423@gmail.com
12,BAJ-MIX-GRD-REX-500W,01-02-2021 07:56:46,Return Stock,Flipkart_smart fullfilment,,1,0,1,28,28,Sales Return,RTN257096,Stock returned for sales return RTN257096,akshayjoshi5423@gmail.com
13,08466-424,01-02-2021 09:00:06,Stock Blocked,Flipkart_smart fullfilment,,1,3,3,0,0,Order,OD120902388834682000/12090238883468200,Stock blocked for new order OD120902388834682000/12090238883468200,
14,410176-BAJ-GX3-500W-MIX-GRN,01-02-2021 09:13:28,Return Stock,Flipkart_smart fullfilment,,1,0,1,3,3,Sales Return,RTN257103,Stock returned for sales return RTN257103,akshayjoshi5423@gmail.com
15,BAJ-MIX-GRD-REX-500W,01-02-2021 09:20:02,Return Stock,Flipkart_smart fullfilment,,1,1,2,28,28,Sales Return,RTN257104,Stock returned for sales return RTN257104,akshayjoshi5423@gmail.com
16,410176-BAJ-GX3-500W-MIX-GRN,01-02-2021 09:22:21,Return Stock,Flipkart_smart fullfilment,,1,1,2,3,3,Sales Return,RTN257105,Stock returned for sales return RTN257105,akshayjoshi5423@gmail.com
17,410167-BAJ-GLO-500W-MIX-GRN,01-02-2021 09:27:07,Return Stock,Flipkart_smart fullfilment,,1,0,1,20,20,Sales Return,RTN257106,Stock returned for sales return RTN257106,akshayjoshi5423@gmail.com
18,BAJ-MIX-GRD-REX-500W,01-02-2021 09:34:20,Return Stock,Flipkart_smart fullfilment,,1,2,3,28,28,Sales Return,RTN257107,Stock returned for sales return RTN257107,akshayjoshi5423@gmail.com
19,410167-BAJ-GLO-500W-MIX-GRN,01-02-2021 09:51:30,Return Stock,Flipkart_smart fullfilment,,1,1,2,20,20,Sales Return,RTN257108,Stock returned for sales return RTN257108,akshayjoshi5423@gmail.com
20,BAJ-MIX-GRD-REX-500W,01-02-2021 09:54:33,Return Stock,Flipkart_smart fullfilment,,1,3,4,28,28,Sales Return,RTN257109,Stock returned for sales return RTN257109,akshayjoshi5423@gmail.com
21,08466-424,01-02-2021 10:00:04,Stock Blocked,Flipkart_smart fullfilment,,1,3,3,0,0,Order,OD120902800528467000/12090280052846700,Stock blocked for new order OD120902800528467000/12090280052846700,
22,08466-424,01-02-2021 10:03:54,Return Stock,Flipkart_smart fullfilment,,2,3,5,0,0,Sales Return,RTN257110,Stock returned for sales return RTN257110,akshayjoshi5423@gmail.com
23,08466-424,01-02-2021 10:06:33,Return Stock,Flipkart_smart fullfilment,,1,5,6,0,0,Sales Return,RTN257111,Stock returned for sales return RTN257111,akshayjoshi5423@gmail.com
24,08466-424,01-02-2021 10:30:03,Stock Blocked,Flipkart_smart fullfilment,,1,6,6,0,0,Order,OD120902890379351000/12090289037935100,Stock blocked for new order OD120902890379351000/12090289037935100,
25,08466-424,01-02-2021 12:00:04,Stock Blocked,Flipkart_smart fullfilment,,1,6,6,0,0,Order,OD120903558385516000/12090355838551600,Stock blocked for new order OD120903558385516000/12090355838551600,
26,08466-424,01-02-2021 12:11:57,Reduce Stock,Flipkart_smart fullfilment,,1,6,5,0,0,Order,OD120784680907278000/12078468090727801,Stock reduced for shipped order OD120784680907278000/12078468090727801,
27,08466-424,01-02-2021 12:11:58,Reduce Stock,Flipkart_smart fullfilment,,1,5,4,0,0,Order,OD120836008577337000/12083600857733701,Stock reduced for shipped order OD120836008577337000/12083600857733701,
28,410167-BAJ-GLO-500W-MIX-GRN,01-02-2021 12:12:01,Reduce Stock,Flipkart_smart fullfilment,,1,2,1,20,20,Order,OD120887159131033000/12088715913103300,Stock reduced for shipped order OD120887159131033000/12088715913103300,
29,BAJ-MIX-GRD-REX-500W,01-02-2021 12:12:02,Reduce Stock,Flipkart_smart fullfilment,,1,4,3,28,28,Order,OD220885322392935000/22088532239293500,Stock reduced for shipped order OD220885322392935000/22088532239293500,
30,08466-424,01-02-2021 12:12:02,Reduce Stock,Flipkart_smart fullfilment,,1,4,3,0,0,Order,OD120884208459360000/12088420845936000,Stock reduced for shipped order OD120884208459360000/12088420845936000,
31,08466-424,01-02-2021 12:12:02,Reduce Stock,Flipkart_smart fullfilment,,1,3,2,0,0,Order,OD120883955240516000/12088395524051600,Stock reduced for shipped order OD120883955240516000/12088395524051600,
32,08466-424,01-02-2021 12:12:02,Reduce Stock,Flipkart_smart fullfilment,,1,2,1,0,0,Order,OD220883994312480000/22088399431248000,Stock reduced for shipped order OD220883994312480000/22088399431248000,
33,BAJ-MIX-GRD-REX-500W,01-02-2021 12:12:05,Reduce Stock,Flipkart_smart fullfilment,,1,3,2,28,28,Order,OD120892966973879000/12089296697387900,Stock reduced for shipped order OD120892966973879000/12089296697387900,
34,41026,01-02-2021 14:04:37,Stock Blocked,All defective,,1,1,1,0,0,Order,Offline Sale00003506,Stock blocked for new order Offline Sale00003506,akshayjoshi5423@gmail.com
35,42210,01-02-2021 14:04:37,Stock Blocked,All defective,,1,1,1,0,0,Order,Offline Sale00003506,Stock blocked for new order Offline Sale00003506,akshayjoshi5423@gmail.com
36,30709,01-02-2021 14:04:37,Stock Blocked,All defective,,1,1,1,0,0,Order,Offline Sale00003506,Stock blocked for new order Offline Sale00003506,akshayjoshi5423@gmail.com
37,40557,01-02-2021 14:04:37,Stock Blocked,All defective,,1,1,1,0,0,Order,Offline Sale00003506,Stock blocked for new order Offline Sale00003506,akshayjoshi5423@gmail.com
38,41110,01-02-2021 14:04:37,Stock Blocked,All defective,,4,5,5,0,0,Order,Offline Sale00003506,Stock blocked for new order Offline Sale00003506,akshayjoshi5423@gmail.com
