amazon-order-id,merchant-order-id,purchase-date,last-updated-date,order-status,fulfillment-channel,sales-channel,order-channel,url,ship-service-level,product-name,sku,asin,item-status,quantity,currency,item-price,item-tax,shipping-price,shipping-tax,gift-wrap-price,gift-wrap-tax,item-promotion-discount,ship-promotion-discount,ship-city,ship-state,ship-postal-code,ship-country,promotion-ids,is-business-order,purchase-order-number,price-designation,fulfilled-by,is-sold-by-ab 
406-9451126-2503540,406-9451126-2503540,2021-02-18T10:56:54+00:00,2021-02-18T10:57:37+00:00,Pending,Amazon,Amazon.in,,,Expedited,"OPPO Reno3 Pro (Sky White, 8GB RAM, 128GB Storage) Without Offer",0K-OYMU-W4KX,B07XD1ZFJQ,Unshipped,1,INR,23179,,,,,,,,DEOGHAR,JHARKHAND,815312,IN,IN Core Free Shipping 2015/04/08 23-48-5-108,FALSE,,,,FALSE
403-1510896-3793957,403-1510896-3793957,2021-02-18T10:52:32+00:00,2021-02-18T10:53:12+00:00,Pending,Amazon,Amazon.in,,,Expedited,Usha Bandhan Straight Stitch Composite Sewing Machine (Black),UE-5UR6-IWLN,B00A20LKQG,Unshipped,1,INR,4379,,,,,,,,GURUGRAM,HARYANA,122505,IN,IN Core Free Shipping 2015/04/08 23-48-5-108,FALSE,,,,FALSE
408-9940456-2658701,408-9940456-2658701,2021-02-18T10:50:04+00:00,2021-02-18T10:50:06+00:00,Pending,Amazon,Amazon.in,,,Expedited,Eureka Forbes Aquasure from Aquaguard Aquaflo DX Wall Mountable UV White 120 L/hr Water Purifier,0H-4D7D-C3FJ,B0095S9JU0,Unshipped,1,INR,0,,,,,,,,NEW DELHI,DELHI,110058,IN,,FALSE,,,,FALSE
407-5411687-3109121,407-5411687-3109121,2021-02-18T10:48:38+00:00,2021-02-18T10:50:14+00:00,Pending,Amazon,Amazon.in,,,Expedited,Eureka Forbes Easy Clean Plus 800-Watt Vacuum Cleaner with Suction & Blower (Sliver) (Sliver),LP-5009-DWF6,B00F3ABT48,Unshipped,1,INR,2909,,,,,,,,COIMBATORE,TAMIL NADU,641042,IN,IN Core Free Shipping 2015/04/08 23-48-5-108,FALSE,,,,FALSE
405-7102189-7044351,405-7102189-7044351,2021-02-18T10:47:37+00:00,2021-02-18T10:48:14+00:00,Pending,Amazon,Amazon.in,,,Expedited,Eureka Forbes Aquasure from Aquaguard Xtra Tuff 15-Liter Water Purifier,QZ-ESXD-YX7A,B00E9HJF2Y,Unshipped,1,INR,1569,,,,,,,,NAVI MUMBAI,MAHARASHTRA,400708,IN,,FALSE,,,,FALSE
171-2284907-1428333,171-2284907-1428333,2021-02-18T10:47:08+00:00,2021-02-18T10:48:55+00:00,Pending,Amazon,Amazon.in,,,Expedited,"Nutri-Blend Complete Kitchen Machine, 22000 RPM Mixer-Grinder, Blender, Chopper, Juicer, SS Blades, 4 Unbreakable Jars, 2 Years Warranty, 400W-Black,",GF-3KCS-4AID,B07FL3WRX5,Unshipped,1,INR,3389,,,,,,,,HYDERABAD,TELANGANA,500060,IN,IN Core Free Shipping 2015/04/08 23-48-5-108,FALSE,,,,FALSE
402-9762221-5289961,402-9762221-5289961,2021-02-18T10:45:08+00:00,2021-02-18T10:45:44+00:00,Pending,Amazon,Amazon.in,,,Expedited,Samsung Galaxy Buds Live (SM-R180NZKAINU) Mystic Black,3Q-2DM3-OUIJ,B08FN6WGDQ,Unshipped,1,INR,11849,,,,,,,,Vikarabad,TELANGANA,501101,IN,IN Core Free Shipping 2015/04/08 23-48-5-108,FALSE,,,,FALSE
408-6074394-0523522,408-6074394-0523522,2021-02-18T10:42:25+00:00,2021-02-18T10:42:28+00:00,Pending,Amazon,Amazon.in,,,Standard,"Nutri-Blend, 22000 RPM Mixer-Grinder, Blender, SS Blades, 2 Unbreakable Jars, 2 Years Warranty, 400 W-Champagne, Includes Exclusive Recipe Book By Che",J4-KHYT-O9KY,B072BCSJ4G,Unshipped,1,INR,0,,,,,,,,guntur,andhrapradesh,522601,IN,,FALSE,,,,FALSE
407-6899340-6848362,407-6899340-6848362,2021-02-18T10:41:04+00:00,2021-02-18T10:42:04+00:00,Pending,Amazon,Amazon.in,,,Expedited,Panasonic SR-WA10 450-Watt Automatic Cooker Without Warmer (White)(Raw Capacity-0.6 kgs),VB-NNGL-XOL3,B00A7PK0Z8,Unshipped,1,INR,1479,,,,,,,,BENGALURU,KARNATAKA,560043,IN,,FALSE,,,,FALSE
402-6784283-3352310,402-6784283-3352310,2021-02-18T10:40:59+00:00,2021-02-18T10:41:03+00:00,Pending,Amazon,Amazon.in,,,Expedited,"Nokia 105 (Dual SIM, Black)",DU-IEA5-JMJ8,B0746JXMWV,Unshipped,1,INR,1323,,,,,,,,IMT MANESAR,HARYANA,122050,IN,IN Core Free Shipping 2015/04/08 23-48-5-108,FALSE,,,,FALSE
