"Includes Amazon Marketplace, Fulfillment by Amazon (FBA), and Amazon Webstore transactions"
"All amounts in INR, unless specified"
"Definitions:"
"Total sales tax liable:Includes GST or sales tax collected from buyers for product sales, shipping, and gift wrap."
"TCS-CGST:Tax Collected at Source from Central GST"
"TCS-SGST:Tax Collected at Source from State GST"
"TCS-IGST:Tax Collected at Source from Integrated GST"
"Selling fees: Includes variable closing fees and referral fees."
"Other transaction fees: Includes shipping chargebacks, shipping holdbacks, and sales tax collection fees.
"
"Other: Includes non-order transaction amounts. For more details, see the ""Type"" and ""Description"" columns for each order ID."
"date/time","settlement id
","type
","order id","Sku","description
","quantity","marketplace
","account type","fulfillment","order city
","order state
","order postal
","product sales
","shipping credits
","promotional rebates
","Total sales tax liable(GST before adjusting TCS)","TCS-CGST","TCS-SGST","TCS-IGST","selling fees
","fba fees
","other transaction fees
","other
","total
"
"10-Feb-2021 6:48:31 pm UTC","14992864822","Adjustment
","404-5290377-7231565","Eurekaforbes_dx_1200w_vacuum","FBA Inventory Reimbursement - Customer Service Issue","1","","Cash On Delivery Transactions and Non-Transactional Fees","","","","","0","0","0","0","0","0","0","0","0","0","886.63","886.63"
"10-Feb-2021 6:55:26 pm UTC","14992905562","Order
","171-9934833-8821947","WZ-N3TO-1W7K","Eureka Forbes Quick Clean DX 1200-Watt Vacuum Cleaner for Home with Free Reusable dust Bag (Red)","1","amazon.in","Electronic Transactions (Credit Card/Net Banking/GC)","Amazon
","BENGALURU","KARNATAKA","560076","3,388.98","0","-254.24","564.26","-15.67","-15.67","0","-240.07","-201.78","-35.40","0","3,190.41"
"10-Feb-2021 6:57:23 pm UTC","14992864822","Order
","405-1033443-0693944","NB-8Q4C-NKZC","Panasonic AC MX-AC300S-H 550-Watt Super Mixer Grinder with 3 Jars (White)","1","amazon.in","Cash On Delivery Transactions and Non-Transactional Fees","Amazon
","HYDERABAD","TELANGANA","500098","4,139.83","16.95","-16.95","745.17","0","0","-41.40","-317.04","-230.10","-35.40","0","4,261.06"
"10-Feb-2021 7:00:32 pm UTC","14992905562","Order
","171-3733871-1776322","R4-GTBR-SPK3","BERGNER Alpine Forged Aluminium Non-Stick Kadhai with Glass Lid, 24 cm, 2.16 Liters. Induction Base, Grey, 24 cm, 2.16 ltr","1","amazon.in","Electronic Transactions (Credit Card/Net Banking/GC)","Amazon
","MUMBAI","MAHARASHTRA","400080","1,186.60","0","0","142.40","-5.93","-5.93","0","-180.35","-130.98","-35.40","0","970.41"
"10-Feb-2021 7:15:18 pm UTC","14992905562","Order
","171-3936333-2262727","WZ-N3TO-1W7K","Eureka Forbes Quick Clean DX 1200-Watt Vacuum Cleaner for Home with Free Reusable dust Bag (Red)","1","amazon.in","Electronic Transactions (Credit Card/Net Banking/GC)","Amazon
","BENGALURU","KARNATAKA","560066","3,388.98","84.74","-254.24","579.52","-16.09","-16.09","0","-240.07","-301.78","-35.40","0","3,189.57"
"10-Feb-2021 7:21:41 pm UTC","14992905562","Order
","405-0328893-5333128","BC-3YV2-FIQ9","Prestige PKOSS 1.8-Litre 1500W Electric Kettle (can't be used to boil milk)","1","amazon.in","Electronic Transactions (Credit Card/Net Banking/GC)","Amazon
","MUMBAI","MAHARASHTRA","400010","825.42","0","0","148.58","0","0","-8.25","-63.21","-130.98","-17.70","0","753.86"
"10-Feb-2021 7:21:47 pm UTC","14992905562","Order
","406-2408240-2354760","ubngfaq5ej","Prestige Omega Select Plus Non-Stick Concave Tawa, 25cm,Black","1","amazon.in","Electronic Transactions (Credit Card/Net Banking/GC)","Amazon
","BENGALURU","KARNATAKA","560040","624.11","0","0","74.89","0","0","-6.24","-53.62","-109.74","-17.70","0","511.70"
"10-Feb-2021 7:24:21 pm UTC","14992864822","Order
","408-5760085-0587533","WG-WNF7-NRD4","Wonderchef Granite Die-Cast Casserole 6 Pcs Set (Purple)","1","amazon.in","Cash On Delivery Transactions and Non-Transactional Fees","Amazon
","DIMAPUR","NAGALAND","797116","3,406.25","0","0","408.75","0","0","-34.06","-517.70","-173.46","-35.40","0","3,054.38"
"10-Feb-2021 7:29:39 pm UTC","14992864822","Refund
","404-9032741-5761906","QZ-ESXD-YX7A","Eureka Forbes Aquasure from Aquaguard Xtra Tuff 15-Liter Water Purifier","1","amazon.in","Cash On Delivery Transactions and Non-Transactional Fees","Amazon
","BHUBAN","ODISHA","759017","-1,350.00","-33.90","33.90","-243.00","0","0","13.50","103.39","0","35.40","0","-1,440.71"
