Product Name,Sku,Facility,Stock,Cost Price,Avg Cost Price,Mrp,Selling Price
Hardwyn Safe HES-10,1104,default,1,0,0,0,0
Newborn Baby Hosiery Nappies in pack of 24 pcs,HosNap24,default,2,0,0,0,0
Wahl Clean & Confident,05640-2224,default,1,0,0,0,0
Wahl Straight & Curl,WCHS4-1424,default,1,0,0,0,0
Wahl Argancare Straight & Curl,WCHS6-1524,default,2,0,0,0,0
Wahl Easy Breezy Hair Dryer 1200w,WCHD4-1024,default,2,0,0,0,0
Wahl Argencare smart Brush (Hot Brush),WCMS8-1724,default,6,0,0,0,0
Wahl Complete Confidence Personal Grooming Kit,5604-324,default,1,0,0,0,0
Wahl Vaccum Trimmer,9870-100,default,1,0,0,0,0
Wahl Lithium Ion Trimmer (18 Cutting Lengths),01541-0011,default,1,0,0,0,0
Wahl 08655-024 Hair Clipper Runtime: 0 min Trimmer for Men,08655-024,default,7,0,0,0,0
Wahl 79465-224 Extreme Grip (Black),79465-224,default,2,0,0,0,0
Wahl Head to Toe Confidence,09952-524,default,1,0,0,0,0
Wahl Travel Dry -1200W,WCHD4-1124,default,13,0,0,0,0
"SYSKA HB100 Ultraclip Hair Clipper with Super Fast Charging, Runtime-90Mins, 20 Length Settings (Black)",SYS-HB-100,default,17,0,0,0,0
Wahl 08841-724 Beret L-ion Professional Prolithium Trimmer (Silver),Wahl-08841-724-Sil,default,1,0,0,0,0
Wahl 9243-4724 Home Cut Complete Hair Cutting Clipper,Wahl-9243-4724,default,10,0,0,0,0
SYSKA HT3333K Corded & Cordless Stainless Steel Blade Grooming Trimmer with 60 Minutes Working Time; 10 Length Settings (Black),Sys-HT3333-Tri-Blk,default,49,0,0,0,0
Wahl 3D Shiatsu Massage All Rounder,WMMP6-0324,default,1,0,0,0,0
Wahl Air Pressure Foot Massager,WMFM6-0124,default,1,0,0,0,0
Wahl Legend Clipper,08147-424,default,1,0,0,0,0
Wahl Swan Trigger Point Massager,WMHM6-0124,default,2,0,0,0,0
Jockey Solid Men Black Track Pants (),9510_BLACK_GREY_M,default,1,0,0,1049,1049
Wahl Hot & Cold Massager,Wahl-04295-124,default,1,0,0,0,0
Wahl Deep Tissue Percussion Massager,Wahl-04290-524,default,1,0,0,0,0
Wahl Deep Tissue Cordless Percussion Massager,Wahl-04232-024,default,1,0,0,0,0
Wahl 3 in 1 Full Back Sheet Cushion,Wahl-WMMC6-0224,default,1,0,0,0,0
