Product Name,Sku,Facility,Stock,Cost Price,Avg Cost Price,Mrp,Selling Price
Bajaj Shakti Plus 10 Litre 3000 W Water Heater Ivory ,1043,Defective001,1,0,0.03,0,0
Beetel X 70 Black cordless Phone,Bet-X-70-Blk,Defective001,1,0,0.17,0,0
Eureka Forbes Aquaguard Enhance 7 Litre RO UV TDS Water Purifier  Black and White ,1076,Defective001,5,0,0.03,0,0
Kenstar Jacuzzi KGT03W2P GDE 3 Litre 3000 Watt Instant Water Heater,1128,Defective001,2,0,0,0,0
Maharaja Whiteline Mark 1 Happiness 450-Watt Juicer Mixer Grinder (White and Red),1148,Defective001,2,0,0,0,0
Panasonic Single Line 2.4 KX-TG3411SX Digital Cordless Phone Black,1177,Defective001,1,0,0,0,0
Panasonic Single Line 2.4GHz KX-TG3711SX Digital Cordless Telephone,1180,Defective001,1,0,0,0,0
Prestige Electric Kettle PKOSS 1.8 Litre,41588,Defective001,5,0,0,0,0
Prestige PEC 3.0 250 Watt Electric Chopper White ,41026,Defective001,1,0,0.94,0,0
Prestige Wet Grinder PWG 01 200 watts,1241,Defective001,2,0,0,0,0
Saregama Carvaan SC03 Portable Digital Music Player Porcelain White,Car-Wht-Radio,Defective001,1,0,0,0,0
Toothpaste Dispenser,1314,Defective001,1,0,0,0,0
Usha Bandhan Straight Stitch Composite Sewing Machine Black ,1319,Defective001,1,0,0,0,0
Prestige PCJ 7.0 500 Watt Centrifugal Juicer,41110,Defective001,1,0,0,0,0
Morphy Richards Icon Superb,RF-WSYP-S4UA,Defective001,1,0,0,0,0
Bajaj Mixer Classic,410174-BAJ-CLASSIC-750W-MIX,Defective001,1,0,0,0,0
Smart 5 Pcs Casual Wear for Girls - Size : 18,8in1Orange18,Defective001,1,0,0,0,0
Newborn Baby Diaper Nappies in Pack of 4 pcs,QdNap4,Defective001,3,0,0,0,0
Baby Kids One sided cotton plastic sheet pack of 4pcs,OneSPlSh4,Defective001,3,0,0,0,0
Syska HT3052K Grooming Kit (Black/Silver),TJ-Y8GX-QVM3,Defective001,6,0,0,0,0
Morphy Richards HBCS 400-Watt Hand Blender (White),B6-3WC9-HGO8,Defective001,2,0,0,0,0
Morphy Richards InstaCook Electric Kettle,5vnu44rhk2,Defective001,1,0,0,0,0
Nokia 8 Siracco,YQ-VHUU-W9Q6,Defective001,1,0,0,0,0
Voto V2 Champagne,L5-8IAP-6AC1,Defective001,1,0,0,0,0
"First Smile: Newborn Baby Quick-Dry Bed Protector Sheet (Pack of 1) (Royal Blue)	First Smile: Newborn Baby Quick-Dry Bed Protector Sheet (Pack of 1) (Royal Blue)	First Smile: Newborn Baby Quick-Dry Bed Protector Sheet (Pack of 1) (Royal Blue)",Quick Dry Sheet_Blue,Defective001,7,0,0,0,0
