"snapshot-date","sku","fnsku","asin","product-name","condition","avaliable-quantity(sellable)","qty-with-removals-in-progress","inv-age-0-to-90-days","inv-age-91-to-180-days","inv-age-181-to-270-days","inv-age-271-to-365-days","inv-age-365-plus-days","currency","qty-to-be-charged-ltsf-6-mo","projected-ltsf-6-mo","qty-to-be-charged-ltsf-12-mo","projected-ltsf-12-mo","units-shipped-last-7-days","units-shipped-last-30-days","units-shipped-last-60-days","units-shipped-last-90-days","alert","your-price","sales_price","lowest_price_new","lowest_price_used","Recommended action"
"2021-02-16","24-ZVL6-KTVG","X0014RWPXB","B07FWKYNXB","Wonderchef Athena Cookware Set, 3-Pieces, Brown","New","6","0","6","0","0","0","0","INR","0","0.0","0","0.0","0","0","0","0","Low conversion","2699.0","2699.0","2699.0","0.0","Lower price"
"2021-02-16","03-VSKX-RZLW","X0016RZNJ7","B00F2F8FU0","Pigeon by Stovekraft Non-Stick Fry Pan, 28cm","New","11","0","11","0","0","0","0","INR","0","0.0","0","0.0","6","22","33","33","","829.0","829.0","829.0","0.0","Edit listing"
"2021-02-16","I2-BGSY-X4WS","X0016UQSED","B00PRQ85JA","Morphy Richards Super Glide 2000-Watt Steam Iron (White/Blue)","New","14","0","14","0","0","0","0","INR","0","0.0","0","0.0","1","14","23","28","","2234.0","2234.0","2075.0","0.0","Edit listing"
"2021-02-16","98-MIDI-S2JM","X0015NUKVN","B084568DWJ","Prestige Svachh Clip-on 5 Litre Hard Anodised Pressure cooker","New","36","0","36","0","0","0","0","INR","0","0.0","0","0.0","0","0","0","0","Low conversion","3840.0","3840.0","3485.0","0.0","Lower price"
"2021-02-16","GF-3KCS-4AID","X0017N336Z","B07FL3WRX5","Nutri-Blend Complete Kitchen Machine, 22000 RPM Mixer-Grinder, Blender, Chopper, Juicer, SS Blades, 4 Unbreakable Jars, 2 Years Warranty, 400W-Black, Includes Recipe Book By Chef Sanjeev Kapoor","New","25","0","25","0","0","0","0","INR","0","0.0","0","0.0","34","150","275","293","","3398.0","3398.0","3390.0","0.0","Edit listing"
"2021-02-16","KH-7YIR-FZ5G","X000Y8TS5J","B07FL3NQQG","Nutri-Blend Complete Kitchen Machine, 22000 RPM Mixer-Grinder, Blender, Chopper, Juicer, SS Blades, 4 Unbreakable Jars, 2 Years Warranty, 400W-Red, Includes Recipe Book By Chef Sanjeev Kapoor","New","62","0","62","0","0","0","0","INR","0","0.0","0","0.0","22","67","224","326","","3498.0","3498.0","3399.0","0.0","Edit listing"
"2021-02-16","XC-WVBN-KXVX","X0016JLSET","B01MATFQMN","Wahl 79803-024 Performer Cordless Clipper (Black)","New","1","0","1","0","0","0","0","INR","0","0.0","0","0.0","0","4","4","4","Low traffic","3660.0","3660.0","3660.0","0.0","Advertise listing"
"2021-02-16","LH-RHL0-MBQR","X0016KBD2Z","B01N34TTT4","Syska FT3108 Female Precision and Bikini Battery Operated Trimmer (White Pink)","New","1","0","1","0","0","0","0","INR","0","0.0","0","0.0","0","0","0","4","Low traffic","1485.0","1485.0","1485.0","0.0","Advertise listing"
"2021-02-16","PKOSS 1.5","X000SCYSFV","B01MQZ7J8K","Prestige Electric Kettle PKOSS - 1500watts, Steel (1.5Ltr), Black","New","1","0","1","0","0","0","0","INR","0","0.0","0","0.0","5","19","33","127","","874.0","874.0","869.0","0.0","Edit listing"
"2021-02-16","LH-75YD-DMNV","X000VMCZLH","B071DZG5T2","Wonderchef Royal Velvet Plus Induction Base Cookware Set, 4-Pieces, Red","New","31","0","31","0","0","0","0","INR","0","0.0","0","0.0","0","2","5","5","","2464.0","2464.0","2464.0","0.0","Edit listing"
"2021-02-16","HC-KT1X-KKOY","X000XTOSNB","B008YW3CYM","Usha EI 1602 1000-Watt Lightweight Dry Iron (multi-colour)","New","1","0","1","0","0","0","0","INR","0","0.0","0","0.0","0","0","0","0","","","","575.0","-1.0","Edit listing"
"2021-02-16","AZ-SK27-WOOS","X0019DOMQD","B0843Z2ZFF","Prestige Svachh Deluxe Alpha 8 Litre Stainless Steel Pressure Cooker","New","8","0","8","0","0","0","0","INR","0","0.0","0","0.0","0","0","0","0","Low conversion","3530.0","3530.0","3289.0","0.0","Lower price"
"2021-02-16","70-KI7U-DO6J","X001ABS55D","B08456QW44","Prestige Svachh Clip-on Mini Hard Anodized 2 Litre Pressure Cooker","New","48","0","48","0","0","0","0","INR","0","0.0","0","0.0","0","0","0","0","Low conversion","3190.0","3190.0","2849.0","0.0","Lower price"
"2021-02-16","WU-I8SD-NC7P","X0017IWG2R","B08456S2YN","Prestige Svachh Clip-on 3.5 Litre Hard Anodised Pressure Kadai","New","6","0","6","0","0","0","0","INR","0","0.0","0","0.0","0","0","0","0","Low conversion","3630.0","3630.0","3440.0","0.0","Lower price"
