"sku","fnsku","asin","product-name","condition","beginning-quantity","ending-quantity","received","returned","found","sold","removed","lost","disposed","other","discrepant-quantity"
"YZ-J5U2-93T4","X000PELWJH","B010L9VRYW","Maharaja Whiteline Stainless Steel Mx-145 500-Watt Mg Marvello Mixer Grinder, Standard, White and Red","NewItem","0","0","0","0","0","0","0","0","0","0","0"
"Y7-3EZZ-FEH6","X000PGP66P","B009EPFD2C","Panasonic ER-GY10K 6-in-1 Men's Body Grooming Kit","NewItem","0","0","0","0","0","0","0","0","0","0","0"
"PearlTeaCoaster2","X000PJ03C9","B0719VHR2M","Creative Pearls - Beautiful Tea Coasters - Rich & Elegant Design - Set of 6","NewItem","1","1","0","0","0","0","0","0","0","0","0"
"GO-SW05-KV7L","X000PJ2UCF","B00V9XKJ80","Hanumex® PVC Yoga Mat For Exercise And Meditation, 4Mm ,Multicolor","NewItem","0","0","0","0","0","0","0","0","0","0","0"
"A9-LA29-QCJ8","X000PJY8RF","B00UKTTFV6","Borosil Orbit Tray","NewItem","0","0","0","0","0","0","0","0","0","0","0"
"X3-LAU2-I5JS","X000PK4N9H","B01NCLEIH5","Prestige Automatik Mixer Grinder 750 Watt","NewItem","0","0","0","0","0","0","0","0","0","0","0"
"6J-J0ZU-SORH","X000PKR2DL","B01NCLEIH5","Prestige Automatik Mixer Grinder 750 Watt","NewItem","0","0","0","0","0","0","0","0","0","0","0"
"A4-VSP4-AH9N","X000PLH8CF","B00TGXJBNE","Philips HP8302 Essential Selfie Straightener","NewItem","0","0","0","0","0","0","0","0","0","0","0"
"NC-BKVG-BGVL","X000PLIS47","B00F2FA5U8","Pigeon by Stovekraft Wondercast Flat Tawa, 27cm","NewItem","37","27","0","0","0","-10","0","0","0","0","0"
"PearlTableMat1","X000PLRZAF","B07123MGZD","Creative Pearls - Beautiful Table Mat - Rich & Elegant Design - Single Piece","NewItem","6","6","0","0","0","0","0","0","0","0","0"
"PhilipsTornado","X000PLRZAP","B00HVW9YK2","Philips Tornado 23-Watt CFL Bulb (Cool White and Set of 2)","NewItem","0","0","0","0","0","0","0","0","0","0","0"
"PearlTeaCoaster1","X000PLRZAZ","B07261X8P5","Creative Pearls - Beautiful Tea Coasters - Rich & Elegant Design - Set of 6","NewItem","0","0","0","0","0","0","0","0","0","0","0"
"CarFreeze6L","X000PLRZB9","B07257Y9ZP","Goreal 6L Mini Car Fridge Cooler Warmer 2 In 1 Multi-Function 12 Travel Portable Fridge Electric, Freezer Cooler Box","NewItem","0","0","0","0","0","0","0","0","0","0","0"
"Aristocrat Duffle Bag","X000PLRZBJ","B01KCQ8RD8","Aristocrat Dart Polyester 55 cm Violet Soft Duffle On Wheels Trolley","NewItem","0","0","0","0","0","0","0","0","0","0","0"
"Apex Clear Glass","X000PLRZBT","B01M0NZNPV","Apex Plastic Unbreakable Glass Set, 200 ml, Set of 6, Transparent","NewItem","0","0","0","0","0","0","0","0","0","0","0"
"Ringbox","X000PLRZC3","B06XVDQS84","Rings Storage Jewelry box with Snap Button Closure - Accomodates 12 - 16 Rings","NewItem","0","0","0","0","0","0","0","0","0","0","0"
"Princeware5set","X000PLRZCD","B00UANVUM4","Princeware Store Fresh Plastic Bowl Package Container, Set of 5, Blue","NewItem","0","0","0","0","0","0","0","0","0","0","0"
