"received-date","fnsku","sku","product-name","quantity","fba-shipment-id","fulfillment-center-id"
"2021-02-16T18:30:00+00:00","X001BE937N","K6-A44K-8QEL","Samsung Galaxy Buds Live (SM-R180NZNAINU) Mystic Bronze","40","FBA15DKXH3B1","QWTT"
"2021-02-16T18:30:00+00:00","X001B3AICX","KO-UKIW-665Z","Wonderchef Granite Aluminium Nonstick Wok with Lid- 20cm, 1.5L, 3.5mm, Gray","16","FBA15DKXJ2MD","QWTT"
"2021-02-16T18:30:00+00:00","X001B15E8N","IJ-INLH-Y4WG","Multipurpose Digital Blood Oxygen Saturation Spo2 And Pulse Rate Monitor, Perfect For Home Health Care And Outdoor Activities - Batteries Not Included (Blue)","1","FBA15DKXN2MX","QWTT"
"2021-02-16T18:30:00+00:00","X001AVY4NP","49-F4SK-HYVT","Ml Box S Android Version 9.0 with Google Assistant Remote 4K HDR Wi-Fi Bluetooth 4.2 8 GB (Black)","1","FBA15DKXN2MX","QWTT"
"2021-02-16T18:30:00+00:00","X001ARTL2X","1W-9BHN-YSTS","realme Buds Air Neo True Wireless Headphone with mic, Bluetooth 5.0, Deep Bass, IPX4 Sweatproof (White)","1","FBA15DKXL7SZ","QWTT"
"2021-02-16T18:30:00+00:00","X001700X1V","0I-KKZL-OS0W","Oven Toaster Griller (OTG) - 28 Litres, Black - with Rotisserie,Auto-shut off, heat-resistant tempered glass, Multi-stage heat selection","6","FBA15DKXJ2MD","QWTT"
"2021-02-16T18:30:00+00:00","X0016UYANJ","2M-BQ91-FE83","Morphy Richards Pronto Ultra 300-Watt Hand Blender (Blue)","4","FBA15DKXJ2MD","QWTT"
"2021-02-16T18:30:00+00:00","X0016QELIR","8L-ULPF-3DEZ","Wahl Stainless Steel Lithium Ion+ Beard and Nose Trimmer for Men, Hair Clippers, Detail Shaver, Rechargeable, All in One Men's Grooming Kit (Steel)","1","FBA15DKXL7SZ","QWTT"
"2021-02-16T18:30:00+00:00","X00146KIAT","U0-1WPF-NQOO","Panasonic Single Line 2.4GHz KX-TG3611SX Digital Cordless Telephone","1","FBA15DKXN2MX","QWTT"
"2021-02-16T18:30:00+00:00","X0013Q9TP5","QB-VUGQ-2XVB","Nokia 105 Single SIM (Pink)","1","FBA15DKXN2MX","QWTT"
"2021-02-16T18:30:00+00:00","X001145XR7","FT-HD4O-UOMT","Bajaj FX7 600-Watt Food Processor (White)","2","FBA15DKXJ2MD","QWTT"
"2021-02-16T18:30:00+00:00","X00112DNNF","Eurekaforbes_dx_1200w_vacuum","Eureka Forbes Quick Clean DX 1200-Watt Vacuum Cleaner for Home with Free Reusable dust Bag (Red)","2","FBA15DKXL7SZ","QWTT"
"2021-02-16T18:30:00+00:00","X0010XFTAZ","VB-NNGL-XOL3","Panasonic SR-WA10 450-Watt Automatic Cooker Without Warmer (White)(Raw Capacity-0.6 kgs)","-1","FBA15DK8Z9T5","BOM5"
"2021-02-16T18:30:00+00:00","X0010JS1XV","MJ-L500","Panasonic MJ-L500 150-Watt Cold Press Slow Juicer (Silver)","10","FBA15DK8YDDJ","BLR7"
