"Product Name","Merchant SKU","Asin","Condition (New/Old)","Supplier Name (unassigned, if no supplier information provided by you)","Recommended Fulfilment Center (FC Code)","Sales contribution for the zone in INR (Sales in last 30 days)","Number of units sold from the zone ( in last 30 days)  ","Days of supply remaining for the zone ( In days)","No. of Units instock in the zone ( in units)","Low in Stock/ Out of Stock Alert","Original Recommended quantity(in Units)","Original Weeks cover recommended (in weeks)","Final Recommended quantity ( adjusted to available capacity at FC in Units)","Final Weeks cover recommended (adjusted to available capacity at FC in weeks)","Order to supplier date (DD/MM/YYYY )","Ship to FC date (DD/MM/YYYY)","Zone Name","Alternate Fulfillment Center(s) to inbound","Past Recommendations accuracy % (Average in %)"
"Pigeon by Stovekraft Non-Stick Biriyani Pot with Lid, 4 litres","VZ-U50V-LMM9","B00F2F9AMW","New","unassigned","BLR4","26694.57","31","0","","out_of_stock","57","4","57","4","24/01/21","24/01/21","South1 (BLR)","BLR5,BLR7","Not Available"
"Prestige Hard Anodised Plus Cookware Induction Base Roti Tawa, 225mm, Black","1Q-5EH7-RBMQ","B00N2ZJCJA","New","unassigned","PNQ2","0.0","0","1","","out_of_stock","53","4","53","4","24/01/21","24/01/21","North","SDEA,SDEE,SDED","Not Available"
"Prestige Induction Cooktop Pic 20.0 With Omega Deluxe Byk Set 3 Pc Set,Black","KY-H34R-68T0","B0767QJQT8","New","unassigned","PNQ2","0.0","0","0","","out_of_stock","50","4","50","4","24/01/21","24/01/21","North","SDEA,SDEE,SDED","86.2"
"Usha Goliath GO1200WG Heavy Weight 1200-Watt Dry Iron, 1.8 Kg(Red)","41-ZV4S-QNUW","B0883LQJ6B","New","unassigned","BLR4","0.0","0","0","","out_of_stock","36","4","36","4","24/01/21","24/01/21","South1 (BLR)","BLR5,BLR7","Not Available"
"Pigeon by Stovekraft Favourite 1800-Watt Induction Cooktop","3N-08AV-J5LY","B012VFOQDI","New","unassigned","PNQ2","0.0","0","0","","out_of_stock","32","4","32","4","24/01/21","24/01/21","North","SDEA,SDEE,SDED","Not Available"
"Prestige Induction Cooktop Pic 20.0 With Omega Deluxe Byk Set 3 Pc Set,Black","KY-H34R-68T0","B0767QJQT8","New","unassigned","BLR4","30842.36","10","0","","out_of_stock","32","4","32","4","24/01/21","24/01/21","South1 (BLR)","BLR5,BLR7","86.2"
"Pigeon by Stovekraft Favourite 1800-Watt Induction Cooktop","3N-08AV-J5LY","B012VFOQDI","New","unassigned","BLR4","147435.72","118","88","121","","30","4","30","4","24/01/21","24/01/21","South1 (BLR)","BLR5,BLR7","Not Available"
"Panasonic SR-W18GH 270-Watt Automatic Cooker Warmer Combo Gift Pack (Gold)","ID-02QP-AYEU","B009PJF8TU","New","unassigned","BLR4","4607.63","2","0","","out_of_stock","29","4","29","4","24/01/21","24/01/21","South1 (BLR)","BLR5,BLR7","98.7"
"Panasonic KX-TSC60SXB Corded Phone (Black)","panasonic_KX_TSC60SXB","B00DM58OGM","New","unassigned","BLR4","0.0","0","0","","out_of_stock","29","4","29","4","24/01/21","24/01/21","South1 (BLR)","BLR5,BLR7","Not Available"
"Prestige Induction Cooktop Pic 20.0 With Omega Deluxe Byk Set 3 Pc Set,Black","KY-H34R-68T0","B0767QJQT8","New","unassigned","BOM7","976559.3","332","14","55","","26","4","26","4","24/01/21","24/01/21","West","BOM6,SPNA,BOM5,SBOA,BOM1,QWTT,SBOC,BOM4,BOM3,SIDA","86.2"
"Morphy Richards 28 RSS 28 Litre Oven Toaster Griller (Black)","OO-CL3W-8QR8","B07QSLR6QB","New","unassigned","BLR4","6448.31","1","0","","out_of_stock","24","4","24","4","24/01/21","24/01/21","South1 (BLR)","BLR5,BLR7","72.2"
"Syska HT800 Cordless Trimmer for Men (Black)","05-BBOD-EEHZ","B084TCTF7X","New","unassigned","PNQ2","0.0","0","0","","out_of_stock","23","4","23","4","24/01/21","24/01/21","North","SDEA,SDEE,SDED","68.4"
"Prestige Omega Select Plus Non-Stick Omni Tawa, 25cm","5O-O3B0-HIO5","B00AYA86R0","New","unassigned","BLR4","13035.73","20","1","1","low_stock","22","4","22","4","24/01/21","24/01/21","South1 (BLR)","BLR5,BLR7","Not Available"
"Syska HT800 Cordless Trimmer for Men (Black)","DX-Q6CC-QH37","B084TCTF7X","New","unassigned","PNQ2","0.0","0","0","","out_of_stock","22","4","22","4","24/01/21","24/01/21","North","SDEA,SDEE,SDED","68.4"
"Syska HT800 Cordless Trimmer for Men (Black)","SA-ITNZ-TQDU","B084TCTF7X","New","unassigned","PNQ2","0.0","0","0","","out_of_stock","22","4","22","4","24/01/21","24/01/21","North","SDEA,SDEE,SDED","68.4"
"Sujata Powermatic Plus 900 Watts Juicer Mixer Grinder","H3-MQ7E-4G7S","B071113J7M","New","unassigned","PNQ2","0.0","0","0","","out_of_stock","21","4","21","4","24/01/21","24/01/21","North","SDEA,SDEE,SDED","Not Available"
"Syska HT800 Cordless Trimmer for Men (Black)","05-BBOD-EEHZ","B084TCTF7X","New","unassigned","BOM7","109972.29","149","0","0","out_of_stock","20","4","20","4","24/01/21","24/01/21","West","BOM6,SPNA,BOM5,SBOA,BOM1,QWTT,SBOC,BOM4,BOM3,SIDA","68.4"
