"month","fnsku","sku","product-name","average-quantity","end-quantity","fulfillment-center-id","detailed-disposition","country"
"12/2020","X001A0WXJN","OO-CL3W-8QR8","Morphy Richards 28 RSS 28 Litre Oven Toaster Griller (Black)","0.03","1","BLR7","SELLABLE","IN"
"12/2020","X0019VLYYD","RF-TNVE-MA22","Wonderchef Glass French Presser, Black","0.03","1","BOM7","CUSTOMER_DAMAGED","IN"
"12/2020","X0019AGG97","57-ELHQ-607Z","Bajaj New Majesty Instant 1 Litre, 3 KW Verical Water Heater (White)","0.03","1","SIDA","CUSTOMER_DAMAGED","IN"
"12/2020","X00184Z27V","GV-JU04-H6W3","Maharaja Whiteline MX-220 1000 W Ultramax HD 3 Stainless Steel Jar Mixer Grinder (Black with Chrome Finish)","0.03","1","SIDA","CUSTOMER_DAMAGED","IN"
"12/2020","X00184YXG7","XB-ZCCY-G6VS","Maharaja Whiteline Odacio Plus 550-Watt Juicer Mixer Grinder with 3 Jars (Black/Silver)","0.06","2","SIDA","CUSTOMER_DAMAGED","IN"
"12/2020","X00184YXG7","XB-ZCCY-G6VS","Maharaja Whiteline Odacio Plus 550-Watt Juicer Mixer Grinder with 3 Jars (Black/Silver)","0.03","1","SIDA","CARRIER_DAMAGED","IN"
"12/2020","X0017UJVOL","JW-NHFJ-H79W","Nokia 2.3 Android 10 Smartphone 2GB RAM, 32GB Storage, Dual Rear Camera, Charcoal","0.03","1","BLR7","SELLABLE","IN"
"12/2020","X0017N336Z","GF-3KCS-4AID","Wonderchef Nutri-Blend, 400W Complete Kitchen Machine (CKM) with 3 Jars (Mixer, Grinder, Juicer, and Chopper) - Black, (Mixer Grinder)","0.03","1","SIDA","CUSTOMER_DAMAGED","IN"
"12/2020","X0017N336Z","GF-3KCS-4AID","Wonderchef Nutri-Blend, 400W Complete Kitchen Machine (CKM) with 3 Jars (Mixer, Grinder, Juicer, and Chopper) - Black, (Mixer Grinder)","0.03","1","SIDA","CARRIER_DAMAGED","IN"
"12/2020","X0017FVRMF","0T-DB7J-SYOO","Prestige Designer Sandwich Maker PSMFB (D) with Fixed Sandwich Plates","0.03","1","BOM5","CUSTOMER_DAMAGED","IN"
