"request-date","order-id","shipment-date","sku","fnsku","disposition","shipped-quantity","carrier","tracking-number","shipment-status","removal-order-type"
"2021-02-18T03:06:33+00:00","2102171H2Q","2021-02-18T17:45:28+00:00","S9-2GJN-BN79","X000ZDJCR7","Sellable","1",,"1211120820280","","Return"
"2021-02-16T06:45:24+00:00","2102151R7B","2021-02-17T10:14:05+00:00","ED-XH8V-N4Q0","X000VBO5R5","Unsellable","1","DLV","1211120720401","Delivered","Return"
"2021-02-16T06:45:24+00:00","2102151R7B","2021-02-18T07:45:49+00:00","WN-8CTJ-TN3B","X0014KXSQV","Unsellable","1",,"1211120788010","","Return"
"2021-02-16T06:45:24+00:00","2102151R7B","2021-02-17T11:58:37+00:00","0H-4D7D-C3FJ","X00142SAZ3","Unsellable","1",,"1211120737982","","Return"
"2021-02-16T06:45:24+00:00","2102151R7B","2021-02-17T11:58:37+00:00","IT-RHCZ-FEN9","X0014DZLTZ","Unsellable","1",,"1211120737982","","Return"
"2021-02-16T06:45:24+00:00","2102151R7B","2021-02-17T11:58:37+00:00","04-IHMQ-0QI4","X000T74JK9","Unsellable","1",,"1211120737982","","Return"
"2021-02-16T06:45:24+00:00","2102151R7B","2021-02-17T11:58:37+00:00","1N-V2NN-FX2P","X000S7AM51","Unsellable","1",,"1211120737982","","Return"
"2021-02-16T06:45:24+00:00","2102151R7B","2021-02-17T21:59:35+00:00","TM-TV2Z-HFKP","X0015ZXDGZ","Unsellable","1",,"1211120766634","","Return"
"2021-02-16T06:45:24+00:00","2102151R7B","2021-02-16T11:43:31+00:00","CU-QOZH-0NFI","X000ZKALLV","Unsellable","1",,"1211120662485","","Return"
"2021-02-16T06:45:24+00:00","2102151R7B","2021-02-16T11:43:31+00:00","1N-V2NN-FX2P","X000S7AM51","Unsellable","1",,"1211120662485","","Return"
"2021-02-16T06:45:24+00:00","2102151R7B","2021-02-16T11:43:31+00:00","IT-RHCZ-FEN9","X0014DZLTZ","Unsellable","1",,"1211120662485","","Return"
"2021-02-16T06:45:24+00:00","2102151R7B","2021-02-16T11:58:58+00:00","KH-7YIR-FZ5G","X000Y8TS5J","Unsellable","1",,"1211120664784","","Return"
"2021-02-16T06:45:24+00:00","2102151R7B","2021-02-16T11:58:58+00:00","39-B7FP-GHKY","X00115UEYD","Unsellable","1",,"1211120664784","","Return"
"2021-02-16T06:45:24+00:00","2102151R7B","2021-02-16T11:58:58+00:00","ME-EWBX-NV0S","X0017A6WYN","Unsellable","1",,"1211120664784","","Return"
"2021-02-16T06:45:24+00:00","2102151R7B","2021-02-16T11:58:58+00:00","VB-NNGL-XOL3","X0010XFTAZ","Unsellable","1",,"1211120664784","","Return"
"2021-02-16T06:45:24+00:00","2102151R7B","2021-02-16T11:58:58+00:00","GF-3KCS-4AID","X0017N336Z","Unsellable","1",,"1211120664784","","Return"
"2021-02-16T06:45:24+00:00","2102151R7B","2021-02-16T19:22:11+00:00","CJ-898G-RY8N","X0019A8UDR","Unsellable","1",,"1211120682295","","Return"
"2021-02-16T06:45:24+00:00","2102151R7B","2021-02-16T19:22:11+00:00","PB-57J5-FAK1","X0019AIJ65","Unsellable","2",,"1211120682295","","Return"
"2021-02-16T06:45:24+00:00","2102151R7B","2021-02-16T19:22:11+00:00","8N-NXOH-54QB","X0018N59L1","Unsellable","1",,"1211120682295","","Return"
"2021-02-16T06:45:24+00:00","2102151R7B","2021-02-16T19:22:11+00:00","53-BITV-CVOK","X00117GL57","Unsellable","1",,"1211120682295","","Return"
"2021-02-16T06:45:24+00:00","2102151R7B","2021-02-16T19:22:11+00:00","1W-9BHN-YSTS","X001ARTL2X","Unsellable","2",,"1211120682295","","Return"
"2021-02-16T06:45:24+00:00","2102151R7B","2021-02-16T19:22:11+00:00","ZG-JIO1-3A5C","X000T7JH3N","Unsellable","1",,"1211120682295","","Return"
"2021-02-16T06:45:24+00:00","2102151R7B","2021-02-16T19:22:11+00:00","panasonic_KX_TG3711SXB","X00115JVCJ","Unsellable","1",,"1211120682295","","Return"
"2021-02-16T06:45:24+00:00","2102151R7B","2021-02-16T19:23:09+00:00","T4-NGUV-YFLX","X001B1FOJR","Unsellable","1",,"1211120683404","","Return"
"2021-02-16T06:45:24+00:00","2102151R7B","2021-02-16T19:23:09+00:00","X0-8H08-04VV","X00128X83X","Unsellable","1",,"1211120683404","","Return"
"2021-02-16T06:45:24+00:00","2102151R7B","2021-02-16T19:23:09+00:00","YR-XNGV-U0KY","X000R0VFHN","Unsellable","1",,"1211120683404","","Return"
"2021-02-16T06:45:24+00:00","2102151R7B","2021-02-16T19:23:09+00:00","Z5-1G5U-4P2M","X001AS0OE1","Unsellable","1",,"1211120683404","","Return"
"2021-02-16T06:45:24+00:00","2102151R7B","2021-02-16T23:00:30+00:00","ML-2UEP-WIBZ","X0016GWBY3","Unsellable","2",,"1211120696262","","Return"
